player_name,club,league,season,games_played,minutes_played,goals,xg,assists,xa,shots,key_passes,yellow_cards,red_cards,non_penalty_goals,npxg,xg_per90,xa_per90,npxg_per90
Pau Cabanes De La Torre,"Alaves,Villarreal",la_liga,2024,16,311,1,0.6065235398709774,0,0.6184967579320073,6,5,1,0,1,0.6065235398709774,0.176,0.179,0.176
Erencan Yardimci,Hoffenheim,bundesliga,2024,8,310,0,0.8402661681175232,0,0.0,5,0,2,0,0,0.8402661681175232,0.244,0.0,0.244
Ibrahima Wadji,Saint-Etienne,ligue_1,2024,10,310,0,1.4464850015938282,0,0.008656246587634,12,1,1,0,0,1.4464850015938282,0.42,0.003,0.42
Jota,Rennes,ligue_1,2024,9,308,1,1.2280189469456673,0,0.3610864132642746,4,5,0,0,1,1.2280189469456673,0.359,0.106,0.359
Nabil Bentaleb,Lille,ligue_1,2024,10,306,1,0.7089393362402916,0,0.0122046377509832,5,1,0,0,1,0.7089393362402916,0.209,0.004,0.209
Samuel Amo-Ameyaw,Strasbourg,ligue_1,2024,9,306,2,1.016411256045103,0,0.3969626873731613,9,4,0,0,2,1.016411256045103,0.299,0.117,0.299
Jonny Evans,Manchester United,epl,2024,7,306,0,0.0842704158276319,0,0.0,2,0,1,0,0,0.0842704158276319,0.025,0.0,0.025
Bahereba Guirassy,Nantes,ligue_1,2024,19,303,2,0.8016492705792189,0,0.0689417738467454,7,2,0,0,2,0.8016492705792189,0.238,0.02,0.238
Pablo Torre,Barcelona,la_liga,2024,10,302,3,0.2954732328653335,1,0.9360514245927334,6,8,0,0,3,0.2954732328653335,0.088,0.279,0.088
Issa Kabore,Werder Bremen,bundesliga,2024,9,300,0,0.4616494923830032,1,1.2211057189852,7,7,0,0,0,0.4616494923830032,0.138,0.366,0.138
Steve Mounie,Augsburg,bundesliga,2024,16,299,1,3.968957144767046,0,0.0555006191134452,21,2,2,0,1,3.968957144767046,1.195,0.017,1.195
Pascal Stenzel,VfB Stuttgart,bundesliga,2024,10,298,0,0.3691052198410034,0,0.5108424127101898,8,5,0,0,0,0.3691052198410034,0.111,0.154,0.111
Asier Villalibre,Alaves,la_liga,2024,16,298,1,1.7566380016505718,1,0.9450216889381408,9,1,2,0,0,1.013360369950533,0.531,0.285,0.306
Diadie Samassékou,Hoffenheim,bundesliga,2024,8,298,0,0.0558178666979074,0,0.0,3,0,0,0,0,0.0558178666979074,0.017,0.0,0.017
Eric Junior Dina Ebimbe,Eintracht Frankfurt,bundesliga,2024,7,298,0,0.8198971599340439,1,1.007884681224823,8,2,0,0,0,0.8198971599340439,0.248,0.304,0.248
Marc Domenech,Mallorca,la_liga,2024,10,297,0,0.7432425078004599,0,0.2158001670613885,8,5,0,0,0,0.7432425078004599,0.225,0.065,0.225
Lovro Majer,Wolfsburg,bundesliga,2024,9,296,2,1.4159954469650984,1,1.4358294662088156,7,8,1,0,1,0.6582187097519636,0.431,0.437,0.2
Marius Courcoul,Angers,ligue_1,2024,8,296,0,0.0598311349749565,0,0.0417022667825222,3,1,0,0,0,0.0598311349749565,0.018,0.013,0.018
Kike Barja,Osasuna,la_liga,2024,15,296,0,0.1755196843296289,1,1.4770732149481771,4,10,3,0,0,0.1755196843296289,0.053,0.449,0.053
Enes Ünal,Bournemouth,epl,2024,17,292,2,2.016992896795273,1,0.545154508203268,19,4,2,0,2,2.016992896795273,0.622,0.168,0.622
Jean Onana,Genoa,serie_a,2024,9,291,0,0.0098431883379817,0,0.0821026042103767,1,2,1,0,0,0.0098431883379817,0.003,0.025,0.003
Amar Dedic,Marseille,ligue_1,2024,10,289,0,0.715293537825346,1,0.8562837615609169,6,4,1,0,0,0.715293537825346,0.223,0.267,0.223
Vladislav Masternoy,Fakel,rfpl,2024,7,289,0,0.0,0,0.0400942154228687,0,1,1,0,0,0.0,0.0,0.012,0.0
Mario Hermoso,Bayer Leverkusen,bundesliga,2024,4,288,0,0.2317601852118969,0,0.0898565053939819,4,1,0,0,0,0.2317601852118969,0.072,0.028,0.072
Michy Batshuayi,Eintracht Frankfurt,bundesliga,2024,10,288,3,1.3108754754066467,0,0.0360063388943672,5,1,2,0,3,1.3108754754066467,0.41,0.011,0.41
Kazeem Olaigbe,Rennes,ligue_1,2024,10,288,0,0.2323513310402631,2,2.37851420417428,6,15,0,0,0,0.2323513310402631,0.073,0.743,0.073
