team,player,position,age,caps,goals,club,intl_xg_per_shot,weighted_shots,club_npxg_per90,market_value_m,club_form_estimated,intl_xg_norm,club_form_norm,experience_norm,value_norm,composite_score
South Korea,Kim Moon-hwan,Defender,30,35,0,Daejeon Hana Citizen,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2333,0.0,0.0773
Sweden,Kristoffer Nordfeldt,Goalkeeper,36,21,0,AIK,0.0,0.0,0.002,0.3,True,0.0,0.0013,0.14,0.0495,0.0764
Saudi Arabia,Musab Al-Juwayr,Midfielder,22,34,6,Al-Qadsiah,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.2267,0.0,0.0763
Uruguay,Nicolás de la Cruz,Midfielder,29,34,5,Flamengo,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.2267,0.0,0.0763
United States,Alejandro Zendejas,Forward,28,14,2,América,0.0,0.0,0.311,0.0,False,0.0,0.2073,0.0933,0.0,0.0762
Mexico,Israel Reyes,Defender,26,34,2,América,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2267,0.0,0.0754
South Korea,Seol Young-woo,Defender,27,34,0,Red Star Belgrade,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2267,0.0,0.0754
Haiti,Leverton Pierre,Midfielder,28,33,0,Vizela,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.22,0.0,0.075
Egypt,Marwan Attia,Midfielder,27,33,1,Al Ahly,0.0,2.0,0.155,0.0,True,0.0,0.1033,0.22,0.0,0.075
Tunisia,Rani Khedira,Midfielder,32,3,0,Union Berlin,0.0,0.0,0.044,2.0,False,0.0,0.0293,0.02,0.2072,0.0749
Curaçao,Brandley Kuwas,Forward,33,34,2,Volendam,0.0,0.0,0.134,0.45,False,0.0,0.0893,0.2267,0.0701,0.0748
Canada,Maxime Crépeau,Goalkeeper,32,32,0,Orlando City SC,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.2133,0.0,0.0748
Mexico,Gilberto Mora,Midfielder,17,8,0,Tijuana,0.0,0.0,0.317,0.0,False,0.0,0.2113,0.0533,0.0,0.074
DR Congo,Aaron Tshibola,Midfielder,31,16,1,Kilmarnock,0.0,0.0,0.155,0.45,True,0.0,0.1033,0.1067,0.0701,0.0734
Iraq,Manaf Younis,Defender,29,33,1,Al-Shorta,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.22,0.0,0.0734
Curaçao,Kevin Felida,Midfielder,26,19,1,Den Bosch,0.0,0.0,0.155,0.35,True,0.0,0.1033,0.1267,0.0566,0.0733
New Zealand,Nando Pijnaker,Defender,27,25,0,Auckland FC,0.0,0.0,0.0735,0.18,True,0.0,0.049,0.1667,0.0312,0.073
Paraguay,Gatito Fernández,Goalkeeper,38,31,0,Cerro Porteño,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.2067,0.0,0.0725
Belgium,Mike Penders,Goalkeeper,20,0,0,Strasbourg,0.0,0.0,0.002,1.0,True,0.0,0.0013,0.0,0.1307,0.072
Cape Verde,João Paulo,Midfielder,28,41,1,FCSB,0.0,4.0,0.071,0.05,False,0.0,0.0473,0.2733,0.0092,0.0716
Norway,Marcus Holmgren Pedersen,Defender,25,32,0,Torino,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2133,0.0,0.0713
Panama,José Córdoba,Defender,25,32,1,Norwich City,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2133,0.0,0.0713
Qatar,Jassem Gaber,Defender,24,32,1,Al-Rayyan,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2133,0.0,0.0713
South Africa,Khuliso Mudau,Defender,31,32,1,Mamelodi Sundowns,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2133,0.0,0.0713
Croatia,Josip Šutalo,Defender,26,32,0,Ajax,0.0,1.0,0.0735,0.0,True,0.0,0.049,0.2133,0.0,0.0713
Bosnia and Herzegovina,Dennis Hadžikadunić,Defender,27,32,0,Sampdoria,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2133,0.0,0.0713
Mexico,Brian Gutiérrez,Midfielder,22,7,2,Guadalajara,0.0,0.0,0.308,0.0,False,0.0,0.2053,0.0467,0.0,0.0709
Iraq,Aimar Sher,Midfielder,23,6,0,Sarpsborg 08,0.0,0.0,0.155,0.75,True,0.0,0.1033,0.04,0.1055,0.0706
Austria,Michael Svoboda,Defender,27,4,0,Venezia,0.0,0.0,0.014,0.9,False,0.0,0.0093,0.0267,0.121,0.0699
United States,Cristian Roldan,Midfielder,31,47,0,Seattle Sounders FC,0.0,0.0,0.034,0.0,False,0.0,0.0227,0.3133,0.0,0.0695
Tunisia,Elias Saad,Forward,26,15,4,Hannover 96,0.0,0.0,0.272,0.0,False,0.0,0.1813,0.1,0.0,0.0694
Iraq,Merchas Doski,Defender,26,31,1,Viktoria Plzeň,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2067,0.0,0.0694
Norway,Thelo Aasgaard,Midfielder,24,7,5,Rangers,0.0,0.0,0.3,0.0,False,0.0,0.2,0.0467,0.0,0.0693
Jordan,Mohannad Abu Taha,Midfielder,23,28,1,Al-Quwa Al-Jawiya,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.1867,0.0,0.0683
